stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_top,ambiguous,white_first,0.37,,,25858.2194193
fixation,ambiguous,_,0.13,,,25858.5914162
ambiguous_left_bottom,ambiguous,white_second,0.37,,8,25858.7233161
fixation,ambiguous,_,0.13,,,25859.0952148
ambiguous_left_top,ambiguous,white_first,0.37,,,25859.2271842
fixation,ambiguous,_,0.13,,,25859.5992437
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25859.7311777
fixation,ambiguous,_,0.13,,,25860.1031548
ambiguous_left_top,ambiguous,white_first,0.37,,,25860.2351213
fixation,ambiguous,_,0.13,,,25860.6070101
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25860.7390241
fixation,ambiguous,_,0.13,,,25861.110857
ambiguous_left_top,ambiguous,white_first,0.37,,,25861.2428751
fixation,ambiguous,_,0.13,,,25861.6150194
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25861.7469786
fixation,ambiguous,_,0.13,,,25862.1189539
ambiguous_left_top,ambiguous,white_first,0.37,,,25862.2508809
fixation,ambiguous,_,0.13,,,25862.6228794
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25862.7547859
fixation,ambiguous,_,0.13,,,25863.1267434
ambiguous_left_top,ambiguous,white_first,0.37,,,25863.2587108
fixation,ambiguous,_,0.13,,,25863.6306886
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25863.7626473
fixation,ambiguous,_,0.13,,,25864.1347388
ambiguous_left_top,ambiguous,white_first,0.37,,,25864.2666081
fixation,ambiguous,_,0.13,,,25864.6386966
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25864.7708065
fixation,ambiguous,_,0.13,,,25865.1428482
ambiguous_left_top,ambiguous,white_first,0.37,,,25865.2747715
fixation,ambiguous,_,0.13,,,25865.6467062
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25865.7785745
fixation,ambiguous,_,0.13,,,25866.1504633
ambiguous_left_top,ambiguous,white_first,0.37,,7.5,25866.2822877
fixation,ambiguous,_,0.13,,,25866.6542589
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25866.7862531
fixation,ambiguous,_,0.13,,,25867.158309
ambiguous_left_top,ambiguous,white_first,0.37,,,25867.2902419
fixation,ambiguous,_,0.13,,,25867.6622417
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25867.7942084
fixation,ambiguous,_,0.13,,,25868.1662085
ambiguous_left_top,ambiguous,white_first,0.37,,,25868.2984548
fixation,ambiguous,_,0.13,,,25868.6708729
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25868.8028522
fixation,ambiguous,_,0.13,,,25869.1748772
ambiguous_left_top,ambiguous,white_first,0.37,,,25869.3068048
fixation,ambiguous,_,0.13,,,25869.6788797
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25869.8107299
fixation,ambiguous,_,0.13,,,25870.1826333
ambiguous_left_top,ambiguous,white_first,0.37,,,25870.3145459
fixation,ambiguous,_,0.13,,,25870.6864965
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25870.8185466
fixation,ambiguous,_,0.13,,,25871.1905406
ambiguous_left_top,ambiguous,white_first,0.37,,,25871.3224511
fixation,ambiguous,_,0.13,,,25871.6943798
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25871.8264
fixation,ambiguous,_,0.13,,,25872.1983762
ambiguous_left_top,ambiguous,white_first,0.37,,,25872.3303446
fixation,ambiguous,_,0.13,,,25872.7024485
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25872.8343773
fixation,ambiguous,_,0.13,,,25873.2063356
